Major,Deg. Type,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Computer Engineering,BS,41.0,42.0,45.0,57.0,57.0,70.0,61.0,63.0,104.0
Computer Science (BA),BA,27.0,47.0,57.0,70.0,75.0,91.0,91.0,93.0,83.0
Computer Science (BS),BS,48.0,91.0,122.0,188.0,315.0,379.0,468.0,471.0,422.0
Total,Total,116.0,180.0,224.0,315.0,447.0,540.0,620.0,627.0,609.0
Electrical Engineering,BS,33.0,31.0,34.0,45.0,63.0,40.0,58.0,53.0,40.0
Total,Total,33.0,31.0,34.0,45.0,63.0,40.0,58.0,53.0,40.0
Total,Total,149.0,211.0,258.0,360.0,510.0,580.0,678.0,680.0,649.0
Total,Total,149.0,211.0,258.0,360.0,510.0,580.0,678.0,680.0,649.0
